,Выжил,Класс,Пол,Год_рождения,Цена,Каюта
116,0,3,male,1841.5,7.75,C85
117,0,2,male,1883.0,21.0,C85
118,0,1,male,1888.0,247.5208,B58 B60
119,0,3,female,1910.0,31.275,C85
120,0,2,male,1891.0,73.5,C85
121,0,3,male,,8.05,C85
122,0,2,male,1879.5,30.0708,C85
123,1,2,female,1879.5,13.0,E101
124,0,1,male,1858.0,77.2875,D26
125,1,3,male,1900.0,11.2417,C85
126,0,3,male,,7.75,C85
127,1,3,male,1888.0,7.1417,C85
128,1,3,female,,22.3583,F E69
129,0,3,male,1867.0,6.975,C85
130,0,3,male,1879.0,7.8958,C85
131,0,3,male,1892.0,7.05,C85
132,0,3,female,1865.0,14.5,C85
133,1,2,female,1883.0,26.0,C85
134,0,2,male,1887.0,13.0,C85
135,0,2,male,1889.0,15.0458,C85
136,1,1,female,1893.0,26.2833,D47
137,0,1,male,1875.0,53.1,C123
138,0,3,male,1896.0,9.2167,C85
139,0,1,male,1888.0,79.2,B86
140,0,3,female,,15.2458,C85
141,1,3,female,1890.0,7.75,C85
142,1,3,female,1888.0,15.85,C85
143,0,3,male,1893.0,6.75,C85
144,0,2,male,1894.0,11.5,C85
145,0,2,male,1893.0,36.75,C85
146,1,3,male,1885.0,7.7958,C85
147,0,3,female,1903.0,34.375,C85
148,0,2,male,1875.5,26.0,F2
149,0,2,male,1870.0,13.0,C85
150,0,2,male,1861.0,12.525,C85
151,1,1,female,1890.0,66.6,C2
152,0,3,male,1856.5,8.05,C85
153,0,3,male,1871.5,14.5,C85
154,0,3,male,,7.3125,C85
155,0,1,male,1861.0,61.3792,C85
156,1,3,female,1896.0,7.7333,C85
157,0,3,male,1882.0,8.05,C85
158,0,3,male,,8.6625,C85
159,0,3,male,,69.55,C85
160,0,3,male,1868.0,16.1,C85
161,1,2,female,1872.0,15.75,C85
162,0,3,male,1886.0,7.775,C85
163,0,3,male,1895.0,8.6625,C85
164,0,3,male,1911.0,39.6875,C85
165,1,3,male,1903.0,20.525,C85
166,1,1,female,,55.0,E33
167,0,3,female,1867.0,27.9,C85
168,0,1,male,,25.925,C85
169,0,3,male,1884.0,56.4958,C85
170,0,1,male,1851.0,33.5,B19
171,0,3,male,1908.0,29.125,C85
172,1,3,female,1911.0,11.1333,C85
173,0,3,male,1891.0,7.925,C85
174,0,1,male,1856.0,30.6958,A7
175,0,3,male,1894.0,7.8542,C85
176,0,3,male,,25.4667,C85
177,0,1,female,1862.0,28.7125,C49
178,0,2,male,1882.0,13.0,C85
179,0,3,male,1876.0,0.0,C85
180,0,3,female,,69.55,C85
181,0,2,male,,15.05,C85
182,0,3,male,1903.0,31.3875,C85
183,1,2,male,1911.0,39.0,F4
184,1,3,female,1908.0,22.025,C85
185,0,1,male,,50.0,A32
186,1,3,female,,15.5,C85
187,1,1,male,1867.0,26.55,C85
188,0,3,male,1872.0,15.5,C85
189,0,3,male,1876.0,7.8958,C85
190,1,2,female,1880.0,13.0,C85
191,0,2,male,1893.0,13.0,C85
192,1,3,female,1893.0,7.8542,C85
193,1,2,male,1909.0,26.0,F2
194,1,1,female,1868.0,27.7208,B4
195,1,1,female,1854.0,146.5208,B80
196,0,3,male,,7.75,C85
197,0,3,male,1870.0,8.4042,C85
198,1,3,female,,7.75,C85
199,0,2,female,1888.0,13.0,C85
200,0,3,male,1884.0,9.5,C85
201,0,3,male,,69.55,C85
202,0,3,male,1878.0,6.4958,C85
203,0,3,male,1866.5,7.225,C85
204,1,3,male,1894.0,8.05,C85
205,0,3,female,1910.0,10.4625,G6
206,0,3,male,1880.0,15.85,C85
207,1,3,male,1886.0,18.7875,C85
208,1,3,female,1896.0,7.75,C85
209,1,1,male,1872.0,31.0,A31
210,0,3,male,1888.0,7.05,C85
211,1,2,female,1877.0,21.0,C85
212,0,3,male,1890.0,7.25,C85
213,0,2,male,1882.0,13.0,C85
214,0,3,male,,7.75,C85
215,1,1,female,1881.0,113.275,D36
216,1,3,female,1885.0,7.925,C85
217,0,2,male,1870.0,27.0,C85
218,1,1,female,1880.0,76.2917,D15
219,0,2,male,1882.0,10.5,C85
220,1,3,male,1896.0,8.05,C85
221,0,2,male,1885.0,13.0,C85
222,0,3,male,1861.0,8.05,C85
223,0,3,male,,7.8958,C85
224,1,1,male,1874.0,90.0,C93
225,0,3,male,1890.0,9.35,C85
226,1,2,male,1893.0,10.5,C85
227,0,3,male,1891.5,7.25,C85
228,0,2,male,1894.0,13.0,C85
229,0,3,female,,25.4667,C85
230,1,1,female,1877.0,83.475,C83
231,0,3,male,1883.0,7.775,C85
232,0,2,male,1853.0,13.5,C85
233,1,3,female,1907.0,31.3875,C85
234,0,2,male,1888.0,10.5,C85
235,0,3,female,,7.55,C85
236,0,2,male,1868.0,26.0,C85
237,1,2,female,1904.0,26.25,C85
238,0,2,male,1893.0,10.5,C85
239,0,2,male,1879.0,12.275,C85
240,0,3,female,,14.4542,C85
241,1,3,female,,15.5,C85
242,0,2,male,1883.0,10.5,C85
243,0,3,male,1890.0,7.125,C85
244,0,3,male,1882.0,7.225,C85
245,0,1,male,1868.0,90.0,C78
246,0,3,female,1887.0,7.775,C85
247,1,2,female,1888.0,14.5,C85
248,1,1,male,1875.0,52.5542,D35
249,0,2,male,1858.0,26.0,C85
250,0,3,male,,7.25,C85
251,0,3,female,1883.0,10.4625,G6
252,0,1,male,1850.0,26.55,C87
253,0,3,male,1882.0,16.1,C85
254,0,3,female,1871.0,20.2125,C85
255,1,3,female,1883.0,15.2458,C85
256,1,1,female,,79.2,C85
257,1,1,female,1882.0,86.5,B77
258,1,1,female,1877.0,512.3292,C85
259,1,2,female,1862.0,26.0,C85
260,0,3,male,,7.75,C85
261,1,3,male,1909.0,31.3875,C85
262,0,1,male,1860.0,79.65,E67
263,0,1,male,1872.0,0.0,B94
264,0,3,female,,7.75,C85
265,0,2,male,1876.0,10.5,C85
266,0,3,male,1896.0,39.6875,C85
267,1,3,male,1887.0,7.775,C85
268,1,1,female,1854.0,153.4625,C125
269,1,1,female,1877.0,135.6333,C99
270,0,1,male,,31.0,C85
271,1,3,male,1887.0,0.0,C85
272,1,2,female,1871.0,19.5,C85
273,0,1,male,1875.0,29.7,C118
274,1,3,female,,7.75,C85
275,1,1,female,1849.0,77.9583,D7
276,0,3,female,1867.0,7.75,C85
277,0,2,male,,0.0,C85
278,0,3,male,1905.0,29.125,C85
279,1,3,female,1877.0,20.25,C85
280,0,3,male,1847.0,7.75,C85
281,0,3,male,1884.0,7.8542,C85
282,0,3,male,1896.0,9.5,C85
283,1,3,male,1893.0,8.05,C85
284,0,1,male,,26.0,A19
285,0,3,male,1879.0,8.6625,C85
286,1,3,male,1882.0,9.5,C85
287,0,3,male,1890.0,7.8958,C85
288,1,2,male,1870.0,13.0,C85
289,1,3,female,1890.0,7.75,C85
290,1,1,female,1886.0,78.85,C85
291,1,1,female,1893.0,91.0792,B49
292,0,2,male,1876.0,12.875,D
293,0,3,female,1888.0,8.85,C85
294,0,3,male,1888.0,7.8958,C85
295,0,1,male,,27.7208,C85
296,0,3,male,1888.5,7.2292,C85
297,0,1,female,1910.0,151.55,C22 C26
298,1,1,male,,30.5,C106
299,1,1,female,1862.0,247.5208,B58 B60
300,1,3,female,,7.75,C85
301,1,3,male,,23.25,C85
302,0,3,male,1893.0,0.0,C85
303,1,2,female,,12.35,E101
304,0,3,male,,8.05,C85
305,1,1,male,1911.08,151.55,C22 C26
306,1,1,female,,110.8833,C85
307,1,1,female,1895.0,108.9,C65
308,0,2,male,1882.0,24.0,C85
309,1,1,female,1882.0,56.9292,E36
310,1,1,female,1888.0,83.1583,C54
311,1,1,female,1894.0,262.375,B57 B59 B63 B66
312,0,2,female,1886.0,26.0,C85
313,0,3,male,1884.0,7.8958,C85
314,0,2,male,1869.0,26.25,C85
315,1,3,female,1886.0,7.8542,C85
316,1,2,female,1888.0,26.0,C85
317,0,2,male,1858.0,14.0,C85
318,1,1,female,1881.0,164.8667,C7
319,1,1,female,1872.0,134.5,E34
320,0,3,male,1890.0,7.25,C85
321,0,3,male,1885.0,7.8958,C85
322,1,2,female,1882.0,12.35,C85
323,1,2,female,1890.0,29.0,C85
324,0,3,male,,69.55,C85
325,1,1,female,1876.0,135.6333,C32
326,0,3,male,1851.0,6.2375,C85
327,1,2,female,1876.0,13.0,D
328,1,3,female,1881.0,20.525,C85
329,1,1,female,1896.0,57.9792,B18
330,1,3,female,,23.25,C85
331,0,1,male,1866.5,28.5,C124
332,0,1,male,1874.0,153.4625,C91
333,0,3,male,1896.0,18.0,C85
334,1,1,female,,133.65,C85
335,0,3,male,,7.8958,C85
336,0,1,male,1883.0,66.6,C2
337,1,1,female,1871.0,134.5,E40
338,1,3,male,1867.0,8.05,C85
339,0,1,male,1867.0,35.5,T
340,1,2,male,1910.0,26.0,F2
341,1,1,female,1888.0,263.0,C23 C25 C27
342,0,2,male,1884.0,13.0,C85
343,0,2,male,1887.0,13.0,C85
344,0,2,male,1876.0,13.0,C85
345,1,2,female,1888.0,13.0,F33
346,1,2,female,1872.0,13.0,C85
347,1,3,female,,16.1,C85
348,1,3,male,1909.0,15.9,C85
349,0,3,male,1870.0,8.6625,C85
350,0,3,male,1889.0,9.225,C85
351,0,1,male,,35.0,C128
352,0,3,male,1897.0,7.2292,C85
353,0,3,male,1887.0,17.8,C85
354,0,3,male,,7.225,C85
355,0,3,male,1884.0,9.5,C85
356,1,1,female,1890.0,55.0,E33
357,0,2,female,1874.0,13.0,C85
358,1,3,female,,7.8792,C85
359,1,3,female,,7.8792,C85
360,0,3,male,1872.0,27.9,C85
361,0,2,male,1883.0,27.7208,C85
362,0,3,female,1867.0,14.4542,C85
363,0,3,male,1877.0,7.05,C85
364,0,3,male,,15.5,C85
365,0,3,male,1882.0,7.25,C85
366,1,1,female,1852.0,75.25,D37
367,1,3,female,,7.2292,C85
368,1,3,female,,7.75,C85
369,1,1,female,1888.0,69.3,B35
370,1,1,male,1887.0,55.4417,E50
371,0,3,male,1894.0,6.4958,C85
372,0,3,male,1893.0,8.05,C85
373,0,1,male,1890.0,135.6333,C85
374,0,3,female,1909.0,21.075,C85
375,1,1,female,,82.1708,C85
376,1,3,female,1890.0,7.25,C85
377,0,1,male,1885.0,211.5,C82
378,0,3,male,1892.0,4.0125,C85
379,0,3,male,1893.0,7.775,C85
380,1,1,female,1870.0,227.525,C85
381,1,3,female,1911.0,15.7417,C85
382,0,3,male,1880.0,7.925,C85
383,1,1,female,1877.0,52.0,C85
384,0,3,male,,7.8958,C85
385,0,2,male,1894.0,73.5,C85
386,0,3,male,1911.0,46.9,C85
387,1,2,female,1876.0,13.0,C85
388,0,3,male,,7.7292,C85
389,1,2,female,1895.0,12.0,C85
390,1,1,male,1876.0,120.0,B96 B98
391,1,3,male,1891.0,7.7958,C85
392,0,3,male,1884.0,7.925,C85
393,1,1,female,1889.0,113.275,D36
394,1,3,female,1888.0,16.7,G6
395,0,3,male,1890.0,7.7958,C85
396,0,3,female,1881.0,7.8542,C85
397,0,2,male,1866.0,26.0,C85
398,0,2,male,1889.0,10.5,C85
399,1,2,female,1884.0,12.65,C85
400,1,3,male,1873.0,7.925,C85
401,0,3,male,1886.0,8.05,C85
402,0,3,female,1891.0,9.825,C85
403,0,3,male,1884.0,15.85,C85
404,0,3,female,1892.0,8.6625,C85
405,0,2,male,1878.0,21.0,C85
406,0,3,male,1861.0,7.75,C85
407,1,2,male,1909.0,18.75,C85
408,0,3,male,1891.0,7.775,C85
409,0,3,female,,25.4667,C85
410,0,3,male,,7.8958,C85
411,0,3,male,,6.8583,C85
412,1,1,female,1879.0,90.0,C78
413,0,2,male,,0.0,C85
414,1,3,male,1868.0,7.925,C85
415,0,3,female,,8.05,C85
416,1,2,female,1878.0,32.5,C85
417,1,2,female,1894.0,13.0,C85
418,0,2,male,1882.0,13.0,C85
419,0,3,female,1902.0,24.15,C85
420,0,3,male,,7.8958,C85
421,0,3,male,1891.0,7.7333,C85
422,0,3,male,1883.0,7.875,C85
423,0,3,female,1884.0,14.4,C85
424,0,3,male,1894.0,20.2125,C85
425,0,3,male,,7.25,C85
426,1,2,female,1884.0,26.0,C85
427,1,2,female,1893.0,26.0,C85
428,0,3,male,,7.75,C85
429,1,3,male,1880.0,8.05,E10
430,1,1,male,1884.0,26.55,C52
431,1,3,female,,16.1,C85
432,1,2,female,1870.0,26.0,C85
433,0,3,male,1895.0,7.125,C85
434,0,1,male,1862.0,55.9,E44
435,1,1,female,1898.0,120.0,B96 B98
436,0,3,female,1891.0,34.375,C85
437,1,2,female,1888.0,18.75,C85
438,0,1,male,1848.0,263.0,C23 C25 C27
439,0,2,male,1881.0,10.5,C85
440,1,2,female,1867.0,26.25,C85
441,0,3,male,1892.0,9.5,C85
442,0,3,male,1887.0,7.775,C85
443,1,2,female,1884.0,13.0,C85
444,1,3,male,,8.1125,C85
445,1,1,male,1908.0,81.8583,A34
446,1,2,female,1899.0,19.5,C85
447,1,1,male,1878.0,26.55,C85
448,1,3,female,1907.0,19.2583,C85
449,1,1,male,1860.0,30.5,C104
450,0,2,male,1876.0,27.75,C85
451,0,3,male,,19.9667,C85
452,0,1,male,1882.0,27.75,C111
453,1,1,male,1863.0,89.1042,C92
454,0,3,male,,8.05,C85
455,1,3,male,1883.0,7.8958,C85
456,0,1,male,1847.0,26.55,E38
457,1,1,female,,51.8625,D21
458,1,2,female,1862.0,10.5,C85
459,0,3,male,,7.75,C85
460,1,1,male,1864.0,26.55,E12
461,0,3,male,1878.0,8.05,C85
462,0,1,male,1865.0,38.5,E63
463,0,2,male,1864.0,13.0,C85
464,0,3,male,,8.05,C85
465,0,3,male,1874.0,7.05,C85
466,0,2,male,,0.0,C85
467,0,1,male,1856.0,26.55,C85
468,0,3,male,,7.725,C85
469,1,3,female,1911.25,19.2583,C85
470,0,3,male,,7.25,C85
471,0,3,male,1874.0,8.6625,C85
472,1,2,female,1879.0,27.75,C85
473,1,2,female,1889.0,13.7917,D
474,0,3,female,1890.0,9.8375,C85
475,0,1,male,,52.0,A14
476,0,2,male,1878.0,21.0,C85
477,0,3,male,1883.0,7.0458,C85
478,0,3,male,1890.0,7.5208,C85
479,1,3,female,1910.0,12.2875,C85
480,0,3,male,1903.0,46.9,C85
481,0,2,male,,0.0,C85
482,0,3,male,1862.0,8.05,C85
483,1,3,female,1849.0,9.5875,C85
484,1,1,male,1887.0,91.0792,B49
485,0,3,female,,25.4667,C85
486,1,1,female,1877.0,90.0,C93
487,0,1,male,1854.0,29.7,B37
488,0,3,male,1882.0,8.05,C85
489,1,3,male,1903.0,15.9,C85
490,0,3,male,,19.9667,C85
491,0,3,male,1891.0,7.25,C85
492,0,1,male,1857.0,30.5,C30
493,0,1,male,1841.0,49.5042,C85
494,0,3,male,1891.0,8.05,C85
495,0,3,male,,14.4583,C85
496,1,1,female,1858.0,78.2667,D20
497,0,3,male,,15.1,C85
498,0,1,female,1887.0,151.55,C22 C26
499,0,3,male,1888.0,7.7958,C85
500,0,3,male,1895.0,8.6625,C85
501,0,3,female,1891.0,7.75,C85
502,0,3,female,,7.6292,C85
503,0,3,female,1875.0,9.5875,C85
504,1,1,female,1896.0,86.5,B79
505,0,1,male,1894.0,108.9,C65
506,1,2,female,1879.0,26.0,C85
507,1,1,male,,26.55,C85
508,0,3,male,1884.0,22.525,C85
509,1,3,male,1886.0,56.4958,C85
510,1,3,male,1883.0,7.75,C85
511,0,3,male,,8.05,C85
512,1,1,male,1876.0,26.2875,E25
513,1,1,female,1858.0,59.4,C85
514,0,3,male,1888.0,7.4958,C85
515,0,1,male,1865.0,34.0208,D46
516,1,2,female,1878.0,10.5,F33
517,0,3,male,,24.15,C85
518,1,2,female,1876.0,26.0,C85
519,0,3,male,1880.0,7.8958,C85
520,1,1,female,1882.0,93.5,B73
521,0,3,male,1890.0,7.8958,C85
522,0,3,male,,7.225,C85
523,1,1,female,1868.0,57.9792,B18
524,0,3,male,,7.2292,C85
525,0,3,male,1871.5,7.75,C85
526,1,2,female,1862.0,10.5,C85
527,0,1,male,,221.7792,C95
528,0,3,male,1873.0,7.925,C85
529,0,2,male,1889.0,11.5,C85
530,1,2,female,1910.0,26.0,C85
531,0,3,male,,7.2292,C85
532,0,3,male,1895.0,7.2292,C85
533,1,3,female,,22.3583,C85
534,0,3,female,1882.0,8.6625,C85
535,1,2,female,1905.0,26.25,C85
536,0,1,male,1867.0,26.55,B38
537,1,1,female,1882.0,106.425,C85
538,0,3,male,,14.5,C85
539,1,1,female,1890.0,49.5,B39
540,1,1,female,1876.0,71.0,B22
541,0,3,female,1903.0,31.275,C85
542,0,3,female,1901.0,31.275,C85
543,1,2,male,1880.0,26.0,C85
544,0,1,male,1862.0,106.425,C86
545,0,1,male,1848.0,26.0,C85
546,1,2,female,1893.0,26.0,C85
547,1,2,male,,13.8625,C85
548,0,3,male,1879.0,20.525,C85
549,1,2,male,1904.0,36.75,C85
550,1,1,male,1895.0,110.8833,C70
551,0,2,male,1885.0,26.0,C85
552,0,3,male,,7.8292,C85
553,1,3,male,1890.0,7.225,C85
554,1,3,female,1890.0,7.775,C85
555,0,1,male,1850.0,26.55,C85
556,1,1,female,1864.0,39.6,A16
557,0,1,male,,227.525,C85
558,1,1,female,1873.0,79.65,E67
559,1,3,female,1876.0,17.4,C85
560,0,3,male,,7.75,C85
561,0,3,male,1872.0,7.8958,C85
562,0,2,male,1884.0,13.5,C85
563,0,3,male,,8.05,C85
564,0,3,female,,8.05,C85
565,0,3,male,1888.0,24.15,C85
566,0,3,male,1893.0,7.8958,C85
567,0,3,female,1883.0,21.075,C85
568,0,3,male,,7.2292,C85
569,1,3,male,1880.0,7.8542,C85
570,1,2,male,1850.0,10.5,C85
571,1,1,female,1859.0,51.4792,C101
572,1,1,male,1876.0,26.3875,E25
573,1,3,female,,7.75,C85
574,0,3,male,1896.0,8.05,C85
575,0,3,male,1893.0,14.5,C85
576,1,2,female,1878.0,13.0,C85
577,1,1,female,1873.0,55.9,E44
578,0,3,female,,14.4583,C85
579,1,3,male,1880.0,7.925,C85
580,1,2,female,1887.0,30.0,C85
581,1,1,female,1873.0,110.8833,C68
582,0,2,male,1858.0,26.0,C85
583,0,1,male,1876.0,40.125,A10
584,0,3,male,,8.7125,C85
585,1,1,female,1894.0,79.65,E68
586,0,2,male,1865.0,15.0,C85
587,1,1,male,1852.0,79.2,B41
588,0,3,male,1890.0,8.05,C85
589,0,3,male,,8.05,C85
590,0,3,male,1877.0,7.125,C85
591,1,1,female,1860.0,78.2667,D20
592,0,3,male,1865.0,7.25,C85
593,0,3,female,,7.75,C85
594,0,2,male,1875.0,26.0,C85
595,0,3,male,1876.0,24.15,C85
596,1,2,female,,33.0,C85
597,0,3,male,1863.0,0.0,C85
598,0,3,male,,7.225,C85
599,1,1,male,1863.0,56.9292,A20
600,1,2,female,1888.0,27.0,C85
601,0,3,male,,7.8958,C85
602,0,1,male,,42.4,C85
603,0,3,male,1868.0,8.05,C85
604,1,1,male,1877.0,26.55,C85
605,0,3,male,1876.0,15.55,C85
606,0,3,male,1882.0,7.8958,C85
607,1,1,male,1885.0,30.5,C85
608,1,2,female,1890.0,41.5792,C85
609,1,1,female,1872.0,153.4625,C125
610,0,3,female,1873.0,31.275,C85
611,0,3,male,,7.05,C85
612,1,3,female,,15.5,C85
613,0,3,male,,7.75,C85
614,0,3,male,1877.0,8.05,C85
615,1,2,female,1888.0,65.0,C85
616,0,3,male,1878.0,14.4,C85
617,0,3,female,1886.0,16.1,C85
618,1,2,female,1908.0,39.0,F4
619,0,2,male,1886.0,10.5,C85
620,0,3,male,1885.0,14.4542,C85
621,1,1,male,1870.0,52.5542,D19
622,1,3,male,1892.0,15.7417,C85
623,0,3,male,1891.0,7.8542,C85
624,0,3,male,1891.0,16.1,C85
625,0,1,male,1851.0,32.3208,D50
626,0,2,male,1855.0,12.35,C85
627,1,1,female,1891.0,77.9583,D9
628,0,3,male,1886.0,7.8958,C85
629,0,3,male,,7.7333,C85
630,1,1,male,1832.0,30.0,A23
631,0,3,male,1861.0,7.0542,C85
632,1,1,male,1880.0,30.5,B50
633,0,1,male,,0.0,C85
634,0,3,female,1903.0,27.9,C85
635,1,2,female,1884.0,13.0,C85
636,0,3,male,1880.0,7.925,C85
637,0,2,male,1881.0,26.25,C85
638,0,3,female,1871.0,39.6875,C85
639,0,3,male,,16.1,C85
640,0,3,male,1892.0,7.8542,C85
641,1,1,female,1888.0,69.3,B35
642,0,3,female,1910.0,27.9,C85
643,1,3,male,,56.4958,C85
644,1,3,female,1911.25,19.2583,C85
645,1,1,male,1864.0,76.7292,D33
646,0,3,male,1893.0,7.8958,C85
647,1,1,male,1856.0,35.5,A26
648,0,3,male,,7.55,C85
649,1,3,female,1889.0,7.55,C85
650,0,3,male,,7.8958,C85
651,1,2,female,1894.0,23.0,C85
652,0,3,male,1891.0,8.4333,C85
653,1,3,female,,7.8292,C85
654,0,3,female,1894.0,6.75,C85
655,0,2,male,1888.0,73.5,C85
656,0,3,male,,7.8958,C85
657,0,3,female,1880.0,15.5,C85
658,0,2,male,1889.0,13.0,C85
659,0,1,male,1854.0,113.275,D48
660,1,1,male,1862.0,133.65,C85
661,0,3,male,1872.0,7.225,C85
662,0,1,male,1865.0,25.5875,E58
663,0,3,male,1876.0,7.4958,C85
664,1,3,male,1892.0,7.925,C85
665,0,2,male,1880.0,73.5,C85
666,0,2,male,1887.0,13.0,C85
667,0,3,male,,7.775,C85
668,0,3,male,1869.0,8.05,C85
669,1,1,female,,52.0,C126
670,1,2,female,1872.0,39.0,C85
671,0,1,male,1881.0,52.0,B71
672,0,2,male,1842.0,10.5,C85
673,1,2,male,1881.0,13.0,C85
674,0,2,male,,0.0,C85
675,0,3,male,1894.0,7.775,C85
676,0,3,male,1887.5,8.05,C85
677,1,3,female,1894.0,9.8417,C85
678,0,3,female,1869.0,46.9,C85
679,1,1,male,1876.0,512.3292,B51 B53 B55
680,0,3,female,,8.1375,C85
681,1,1,male,1885.0,76.7292,D49
682,0,3,male,1892.0,9.225,C85
683,0,3,male,1898.0,46.9,C85
684,0,2,male,1852.0,39.0,C85
685,0,2,male,1887.0,41.5792,C85
686,0,3,male,1898.0,39.6875,C85
687,0,3,male,1893.0,10.1708,C85
688,0,3,male,1894.0,7.7958,C85
689,1,1,female,1897.0,211.3375,B5
690,1,1,male,1881.0,57.0,B20
691,1,3,female,1908.0,13.4167,C85
692,1,3,male,,56.4958,C85
693,0,3,male,1887.0,7.225,C85
694,0,1,male,1852.0,26.55,C85
695,0,2,male,1860.0,13.5,C85
696,0,3,male,1868.0,8.05,C85
697,1,3,female,,7.7333,C85
698,0,1,male,1863.0,110.8833,C68
699,0,3,male,1870.0,7.65,F G63
700,1,1,female,1894.0,227.525,C62 C64
701,1,1,male,1877.0,26.2875,E24
702,0,3,female,1894.0,14.4542,C85
703,0,3,male,1887.0,7.7417,C85
704,0,3,male,1886.0,7.8542,C85
705,0,2,male,1873.0,26.0,C85
706,1,2,female,1867.0,13.5,C85
707,1,1,male,1870.0,26.2875,E24
708,1,1,female,1890.0,151.55,C85
709,1,3,male,,15.2458,C85
710,1,1,female,1888.0,49.5042,C90
